asin,sku,price,quantity,currency,sale-price,sale-from-date,sale-through-date,restock-date,minimum-seller-allowed-price,maximum-seller-allowed-price,fulfillment-channel,handling-time
1782409319,SKU_1782409319_1751687225,2480,2,JPY,,,,,2380,2580,,10
0711263647,SKU_0711263647_1751687228,3500,2,JPY,,,,,3400,3600,,10
0711259658,SKU_0711259658_1751687231,3760,2,JPY,,,,,3660,3860,,10
1782406670,SKU_1782406670_1751687236,2410,2,JPY,,,,,2310,2510,,10
1781903093,SKU_1781903093_1751687258,14560,2,JPY,,,,,14460,14660,,10
1781902186,SKU_1781902186_1751687265,15290,2,JPY,,,,,15190,15390,,10
1404102094,SKU_1404102094_1751687274,4560,2,JPY,,,,,4460,4660,,10
1592537375,SKU_1592537375_1751687280,6170,2,JPY,,,,,6070,6270,,10
1844834921,SKU_1844834921_1751687283,2850,2,JPY,,,,,2750,2950,,10
1733004009,SKU_1733004009_1751687292,8420,2,JPY,,,,,8320,8520,,10
1592538150,SKU_1592538150_1751687295,8150,2,JPY,,,,,8050,8250,,10
1626868808,SKU_1626868808_1751687298,3740,2,JPY,,,,,3640,3840,,10
0997278307,SKU_0997278307_1751687315,1800,2,JPY,,,,,1700,1900,,10
1640950001,SKU_1640950001_1751687324,1570,2,JPY,,,,,1470,1670,,10
1637741057,SKU_1637741057_1751687330,3140,2,JPY,,,,,3040,3240,,10
1786031442,SKU_1786031442_1751687333,2780,2,JPY,,,,,2680,2880,,10
1609613759,SKU_1609613759_1751687336,5020,2,JPY,,,,,4920,5120,,10
0062749897,SKU_0062749897_1751687339,2410,2,JPY,,,,,2310,2510,,10
1510723870,SKU_1510723870_1751687342,2960,2,JPY,,,,,2860,3060,,10
1645672298,SKU_1645672298_1751687345,2970,2,JPY,,,,,2870,3070,,10
1462796249,SKU_1462796249_1751687356,4340,2,JPY,,,,,4240,4440,,10
159726718X,SKU_159726718X_1751687359,5540,2,JPY,,,,,5440,5640,,10
1608106195,SKU_1608106195_1751687368,4130,2,JPY,,,,,4030,4230,,10
1596910569,SKU_1596910569_1751687411,3910,2,JPY,,,,,3810,4010,,10
3791382594,SKU_3791382594_1751687414,2800,2,JPY,,,,,2700,2900,,10
1596912642,SKU_1596912642_1751687417,3050,2,JPY,,,,,2950,3150,,10
1596912634,SKU_1596912634_1751687420,2330,2,JPY,,,,,2230,2430,,10
0793124808,SKU_0793124808_1751687426,6220,2,JPY,,,,,6120,6320,,10
3791383388,SKU_3791383388_1751687435,2830,2,JPY,,,,,2730,2930,,10
174379634X,SKU_174379634X_1751687444,2380,2,JPY,,,,,2280,2480,,10
1633223965,SKU_1633223965_1751687468,4410,2,JPY,,,,,4310,4510,,10
1633225208,SKU_1633225208_1751687471,4940,2,JPY,,,,,4840,5040,,10
0143131532,SKU_0143131532_1751687480,1800,2,JPY,,,,,1700,1900,,10
1604337990,SKU_1604337990_1751687486,1910,2,JPY,,,,,1810,2010,,10
